Name,City,State,classification,neg_score,pos_score,flags
VCA Central Kansas Animal Hospital,South Hutchinson,Kansas,LIKELY NOT GROOMER,5.0,0,NAME:animal hospital
Goodwin Animal Hospital at Atlanta Highway,Montgomery,Alabama,LIKELY NOT GROOMER,5.0,0,NAME:animal hospital
Animal Hospital of Montgomery,Montgomery,Alabama,LIKELY NOT GROOMER,5.0,0,NAME:animal hospital
Montgomery Veterinary Associates - Vaughn Road,Montgomery,Alabama,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Montgomery Veterinary Associates - Carter Hill Road,Montgomery,Alabama,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Veterinary Group of Chesterfield,Chesterfield,Missouri,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
VCA Abbott Animal Hospital,Worcester,Massachusetts,LIKELY NOT GROOMER,5.0,0,NAME:animal hospital
County Seat Veterinary Hospital,Princeton,Indiana,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Greenbrier Veterinary Clinic,Bel Air,Maryland,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Cat Nap Inn,Fort Myers,Florida,REVIEW NEEDED,3.0,0,desc:veterinarian; desc:veterinary; desc:animal hospital
All Dogs Unleashed Dog Training Dallas,Dallas,Texas,REVIEW NEEDED,2.5,0,NAME_MED:dog training; desc_med:obedience
Feeders Pet Supply Pet Wash,Lansing,Michigan,REVIEW NEEDED,2.0,2,NAME_MED:pet supply
P & D Pet Supply,Mountain Top,Pennsylvania,REVIEW NEEDED,2.0,0,NAME_MED:pet supply
sit-stay-play In-home pet sitting & more.inc,Muncie,Indiana,REVIEW NEEDED,2.0,0,NAME_MED:pet sitting
Under One Ruff,Cleburne,Texas,REVIEW NEEDED,2.0,0,desc:tattoo; desc:piercing
The Grubby Pup/Superior Puppy Obedience Training LLC,Alanson,Michigan,REVIEW NEEDED,2.0,2,NAME_MED:obedience
Yarn & Bone Pet Supply Company,Camden,Delaware,REVIEW NEEDED,2.0,0,NAME_MED:pet supply
"AnimaliA Natural Pet Food, Supplements And Supplies",Woodland Hills,California,REVIEW NEEDED,2.0,0,NAME_MED:pet food
Oak Grove Kennel,Monmouth,Oregon,REVIEW NEEDED,2.0,0,NAME_MED:kennel
Suggs Kennel Inc,Augusta,Georgia,REVIEW NEEDED,2.0,0,NAME_MED:kennel
Luxury Pet by G Inc,Hampton Bays,New York,REVIEW NEEDED,2.0,0,desc:tattoo; desc:piercing
Luke & Company Fine Pet Supply & Outfitter,Denver,Colorado,REVIEW NEEDED,2.0,0,NAME_MED:pet supply
Bonita Boarding Kennel and Pet Camp,Bonita Springs,Florida,REVIEW NEEDED,2.0,0,NAME_MED:kennel
1of1kennel,Tacoma,Washington,REVIEW NEEDED,2.0,0,NAME_MED:kennel
Hunt Club Boarding Kennel and Cattery,Virginia Beach,Virginia,REVIEW NEEDED,2.0,0,NAME_MED:kennel
Care-A-Lot Pet Supply Indian River,Virginia Beach,Virginia,REVIEW NEEDED,2.0,0,NAME_MED:pet supply
Positive Approach Dog Training & Daycare,Tacoma,Washington,REVIEW NEEDED,2.0,0,NAME_MED:dog training
Winding Road Kennel Inc,Parkersburg,West Virginia,REVIEW NEEDED,2.0,0,NAME_MED:kennel
Village Pet Spa & Kennel,Wallingford,Connecticut,REVIEW NEEDED,2.0,2,NAME_MED:kennel
Kennel Des Les Anges,Waynesville,Ohio,REVIEW NEEDED,2.0,0,NAME_MED:kennel
Paws & Claws,Billings,Montana,REVIEW NEEDED,2.0,2,desc:spay; desc:neuter
